市町村コード改廃支庁市郡区町村ふりがな変更
01100札幌市さっぽろし1972.0401新設政令指定都市
01101中央区ちゅうおうく
01102北区きたく
01103東区ひがしく
01104白石区しろいしく
01105豊平区とよひらく
01106南区みなみく
01107西区にしく
01108厚別区あつべつく1989.1106分離←白石区
01109手稲区ていねく1989.1106分離←西区
01110清田区きよたく1997.1104分離←豊平区
01202函館市はこだてし
01203小樽市おたるし
01204旭川市あさひかわし
01205室蘭市むろらんし
01206釧路市くしろし
01207帯広市おびひろし
01208北見市きたみし
01209夕張市ゆうばりし
01210岩見沢市いわみざわし
01211網走市あばしりし
01212留萌市るもいし
01213苫小牧市とまこまいし
01214稚内市わっかないし
01215美唄市びばいし
01216芦別市あしべつし
01217江別市えべつし
01218赤平市あかびらし
01219紋別市もんべつし
01220士別市しべつし
01221名寄市なよろし
01222三笠市みかさし
01223根室市ねむろし
01224千歳市ちとせし
01225滝川市たきかわし
01226砂川市すながわし
01227歌志内市うたしないし
01228深川市ふかがわし
01229富良野市ふらのし
01230登別市のぼりべつし1970.0801新設←登別町
01231恵庭市えにわし1970.1101新設←恵庭町
01233伊達市だてし1972.0401新設←伊達町
01234北広島市きたひろしまし1996.0901改称←広島市（広島町が市制，即日改称）
01235石狩市いしかりし1996.0901新設←石狩町
01236北斗市ほくとし2006.0201新設←上磯町，大野町
01300石狩振興局いしかりしんこうきょく2010.0401改称←石狩支庁
01***石狩郡いしかりぐん
01303当別町とうべつちょう
01304新篠津村しんしのつむら
01330渡島総合振興局おしまそうごうしんこうきょく
01***松前郡まつまえぐん
01331松前町まつまえちょう
01332福島町ふくしまちょう
01***上磯郡かみいそぐん
01333知内町しりうちちょう
01334木古内町きこないちょう
01***亀田郡かめだぐん
01337七飯町ななえちょう
01***茅部郡かやべぐん
01343鹿部町しかべちょう1983.1201町制←鹿部村
01345森町もりまち
01***山越郡やまこしぐん
01347長万部町おしゃまんべちょう
01***二海郡ふたみぐん2005.1001新設←八雲町の区域
01346八雲町やくもちょう2005.1001新設←八雲町，熊石町
01360檜山振興局ひやましんこうきょく2010.0401改称←檜山支庁
01***檜山郡ひやまぐん
01361江差町えさしちょう
01362上ノ国町かみのくにちょう
01363厚沢部町あっさぶちょう
01***爾志郡にしぐん
01364乙部町おとべちょう
01***久遠郡くどおぐん
01371せたな町せたなちょう2005.0901新設←大成町，瀬棚町，北桧山町
01***奥尻郡おくしりぐん
01367奥尻町おくしりちょう
01***瀬棚郡せたなぐん
01370今金町いまかねちょう
01390後志総合振興局しりべしそうごうしんこうきょく2010.0401改称←後志支庁
01***島牧郡しままきぐん
01391島牧村しままきむら
01***寿都郡すっつぐん
01392寿都町すっつちょう
01393黒松内町くろまつないちょう
01***磯谷郡いそやぐん
01394蘭越町らんこしちょう
01***虻田郡あぶたぐん
01395ニセコ町にせこちょう
01396真狩村まっかりむら
01397留寿都村るすつむら
01398喜茂別町きもべつちょう
01399京極町きょうごくちょう
01400倶知安町くっちゃんちょう
01***岩内郡いわないぐん
01401共和町きょうわちょう1971.0401町制←共和村
01402岩内町いわないちょう
01***古宇郡ふるうぐん
01403泊村とまりむら
01404神恵内村かもえないむら
01***積丹郡しゃこたんぐん
01405積丹町しゃこたんちょう
01***古平郡ふるびらぐん
01406古平町ふるびらちょう
01***余市郡よいちぐん
01407仁木町にきちょう
01408余市町よいちちょう
01409赤井川村あかいがわむら
01420空知総合振興局そらちそうごうしんこうきょく2010.0401改称←空知支庁
01***空知郡そらちぐん
01423南幌町なんぽろちょう
01424奈井江町ないえちょう
01425上砂川町かみすながわちょう
01***夕張郡ゆうばりぐん
01427由仁町ゆにちょう
01428長沼町ながぬまちょう
01429栗山町くりやまちょう
01***樺戸郡かばとぐん
01430月形町つきがたちょう
01431浦臼町うらうすちょう
01432新十津川町しんとつかわちょう
01***雨竜郡うりゅうぐん
01433妹背牛町もせうしちょう
01434秩父別町ちっぷべつちょう
01436雨竜町うりゅうちょう
01437北竜町ほくりゅうちょう
01438沼田町ぬまたちょう
01450上川総合振興局かみかわそうごうしんこうきょく2010.0401改称←上川支庁
01***上川郡（石狩国）かみかわぐん
01452鷹栖町たかすちょう1969.0101町制←鷹栖村
01453東神楽町ひがしかぐらちょう
01454当麻町とうまちょう
01455比布町ぴっぷちょう
01456愛別町あいべつちょう
01457上川町かみかわちょう
01458東川町ひがしかわちょう
01459美瑛町びえいちょう
01***空知郡そらちぐん
01460上富良野町かみふらのちょう
01461中富良野町なかふらのちょう
01462南富良野町みなみふらのちょう
01***勇払郡ゆうふつぐん
01463占冠村しむかっぷむら
01***上川郡（天塩国）かみかわぐん
01464和寒町わっさむちょう
01465剣淵町けんぶちちょう
01468下川町しもかわちょう
01***中川郡（天塩国）なかがわぐん
01469美深町びふかちょう
01470音威子府村おといねっぷむら
01471中川町なかがわちょう
01472雨竜郡幌加内町ほろかないちょう2010.0401新設←空知支庁
01480留萌振興局るもいしんこうきょく2010.0401改称←留萌支庁
01***増毛郡ましけぐん
01481増毛町ましけちょう
01***留萌郡るもいぐん
01482小平町おびらちょう
01***苫前郡とままえぐん
01483苫前町とままえちょう
01484羽幌町はぼろちょう
01485初山別村しょさんべつむら
01***天塩郡てしおぐん
01486遠別町えんべつちょう
01487天塩町てしおちょう
01510宗谷総合振興局そうやそうごうしんこうきょく2010.0401改称←宗谷支庁
01***宗谷郡そうやぐん
01511猿払村さるふつむら
01***枝幸郡えさしぐん
01512浜頓別町はまとんべつちょう
01513中頓別町なかとんべつちょう
01514枝幸町えさしちょう
01***天塩郡てしおぐん
01516豊富町とよとみちょう
01520幌延町ほろのべちょう2010.0401新設←留萌支庁
01***礼文郡れぶんぐん
01517礼文町れぶんちょう
01***利尻郡りしりぐん
01518利尻町りしりちょう
01519利尻富士町りしりふじちょう1990.0930改称←東利尻町
01540オホーツク総合振興局おほーつくそうごうしんこうきょく2010.0401改称←網走支庁
01***網走郡あばしりぐん
01543美幌町びほろちょう
01544津別町つべつちょう
01564大空町おおぞらちょう2006.0331新設←女満別町，東藻琴村
01***斜里郡しゃりぐん
01545斜里町しゃりちょう
01546清里町きよさとちょう
01547小清水町こしみずちょう
01***常呂郡ところぐん
01549訓子府町くんねっぷちょう
01550置戸町おけとちょう
01552佐呂間町さろまちょう
01***紋別郡もんべつぐん
01555遠軽町えんがるちょう
01559湧別町ゆうべつちょう
